"Species"
"Lepidorhombus whiffiagonis"
"Lepidorhombus whiffiagonis"
"Lepidorhombus whiffiagonis"
"Lepidorhombus whiffiagonis"
"Leucoraja fullonica"
"Leucoraja naevus"
"Leucoraja naevus"
"Lipophrys pholis"
"Lophius budegassa"
"Lophius budegassa"
"Lophius piscatorius"
"Lutjanus argentimaculatus"
"Lutjanus jocu"
"Merluccius merluccius"
"Merluccius merluccius"
"Merluccius merluccius"
"Merluccius merluccius"
"Merluccius merluccius"
"Merluccius merluccius"
"Merluccius merluccius"
"Merluccius merluccius"
"Merluccius merluccius"
"Merluccius merluccius"
"Merluccius merluccius"
"Merluccius merluccius"
"Merluccius merluccius"
"Micromesistius poutassou"
"Micromesistius poutassou"
"Micromesistius poutassou"
"Molva dypterygia"
"Molva molva"
"Molva molva"
"Mugil cephalus"
"Mugil cephalus"
"Mullus surmuletus"
"Mullus surmuletus"
"Mullus surmuletus"
"Mullus surmuletus"
"Mullus surmuletus"
"Mullus surmuletus"
"Mullus surmuletus"
"Mullus surmuletus"
"Mullus surmuletus"
"Muraenesox cinereus"
"Muraenesox cinereus"
"Mustelus asterias"
"Mustelus asterias"
"Mustelus mustelus"
"Mycteroperca rubra"
"Nemipterus japonicus"
"Nemipterus japonicus"
"Nemipterus japonicus"
"Nemipterus japonicus"
"Nemipterus japonicus"
"Nemipterus randalli"
"Nemipterus randalli"
"Oedalechilus labeo"
"Pagellus acarne"
"Pagellus acarne"
"Pagellus bogaraveo"
"Pagellus bogaraveo"
"Pagellus bogaraveo"
"Pagrus major"
"Pagrus major"
"Pagrus major"
"Pagrus pagrus"
"Pagrus pagrus"
"Pagrus pagrus"
"Pagrus pagrus"
"Pampus argenteus"
"Pegusa impar"
"Pegusa lascaris"
"Phycis blennoides"
"Phycis blennoides"
"Phycis blennoides"
"Phycis blennoides"
"Phycis phycis"
"Phycis phycis"
"Platichthys flesus"
"Platichthys flesus"
"Platycephalus indicus"
"Platycephalus indicus"
"Platycephalus indicus"
"Platycephalus indicus"
"Plotosus lineatus"
"Polyprion americanus"
"Polyprion americanus"
"Pomacanthus imperator"
"Pomacanthus maculosus"
"Pomacanthus maculosus"
"Pomadasys incisus"
"Pomatomus saltatrix"
"Pomatomus saltatrix"
"Pomatomus saltatrix"
"Pomatoschistus minutus"
"Prionace glauca"
"Prionace glauca"
"Prionace glauca"
"Pteroplatytrygon violacea"
"Pteroplatytrygon violacea"
"Rachycentron canadum"
"Rachycentron canadum"
"Raja brachyura"
"Raja brachyura"
"Raja clavata"
"Raja clavata"
"Raja clavata"
"Raja clavata"
"Raja montagui"
"Raja montagui"
"Raja montagui"
"Raja montagui"
"Raja polystigma"
"Rastrelliger kanagurta"
"Rastrelliger kanagurta"
"Salmo salar"
"Salmo trutta"
"Salmo trutta"
"Salmo trutta"
"Salmo trutta"
"Salmo trutta"
"Salmo trutta"
"Salmo trutta"
"Sarda sarda"
"Sarda sarda"
"Sarda sarda"
"Sarda sarda"
"Sarda sarda"
